GENERO,EDAD,PERSONAS_EN_CONDICION_DE_DISCAPACIDAD,HOMBRES_Y_MUJERES_CABEZA_DE_FAMILIA,ADULTO_MAYOR,GRUPOS_ETNICOS_AFRO_INDIGENA,TIPO_DE_SEGURIDAD_EN_SALUD,NIVEL_EDUCATIVO_QUE_TIENE_O_CURSA,CONDICION_OCUPACIONAL,BARRIO_O_VEREDA_DE_RESIDENCIA,ZONA_DE_RESIDENCIA,PUNTAJE_VULNERABILIDAD,NIVEL_VULNERABILIDAD,RANGO_EDAD
F,19,NO,NO,NO,6 MESTIZO,REGIMEN CONTRIBUTIVO,8- TECNOLÓGICA,BUSCANDO EMPLEO,LOS 2500,URBANO,3,Alto,16-25
F,30,NO,NO,NO,6 MESTIZO,REGIMEN SUBSIDIADO,2- BÁSICA PRIMARIA,INDEPENDIENTE,OTRO MUNICIPIO,OTRO,4,Alto,26-35
M,43,NO,NO,NO,6 MESTIZO,REGIMEN CONTRIBUTIVO,12- DOCTORADO,EMPLEADO,CUBA,URBANO,0,Bajo,36-45
M,65,NO,NO,SI,6 MESTIZO,REGIMEN CONTRIBUTIVO,3- BÁSICA SECUNDARIA,EMPLEADO,CUBA,URBANO,1,Bajo,56-65
M,67,NO,NO,SI,6 MESTIZO,REGIMEN CONTRIBUTIVO,2- BÁSICA PRIMARIA,EMPLEADO,TERRANOVA,URBANO,3,Alto,66-85
M,61,NO,NO,SI,6 MESTIZO,REGIMEN CONTRIBUTIVO,2- BÁSICA PRIMARIA,EMPLEADO,OTRO MUNICIPIO,OTRO,3,Alto,56-65
M,61,NO,SI,SI,6 MESTIZO,REGIMEN CONTRIBUTIVO,2- BÁSICA PRIMARIA,EMPLEADO,MONSERRATE,URBANO,5,Alto,56-65
M,61,NO,NO,SI,6 MESTIZO,REGIMEN SUBSIDIADO,2- BÁSICA PRIMARIA,NINGUNO,OLAYA HERRERA,URBANO,7,Alto,56-65
M,53,NO,NO,NO,6 MESTIZO,REGIMEN CONTRIBUTIVO,8- TECNOLÓGICA,EMPLEADO,SAN JORGE,URBANO,0,Bajo,46-55
F,19,NO,NO,NO,6 MESTIZO,REGIMEN CONTRIBUTIVO,8- TECNOLÓGICA,ESTUDIANTE,CENTRAL,URBANO,0,Bajo,16-25
